0,5,5,100,1
0,4,5,100,1
0,12,7,100,1
0,14,2,100,1
1,5,6,100,1
1,4,5,100,1
1,12,5,100,1
1,14,3,100,1
2,5,5,100,1
2,4,3,100,1
2,12,4,100,1
2,14,3,100,1
3,5,5,100,1
3,4,6,100,1
3,12,7,100,1
3,14,3,100,1
4,5,5,100,1
4,4,3,100,1
4,12,6,100,1
4,14,3,100,1
5,5,5,100,1
5,4,4,100,1
5,12,5,100,1
5,14,5,100,1
6,5,5,100,1
6,4,3,100,1
6,12,5,100,1
6,14,3,100,1
7,5,5,100,1
7,4,4,100,1
7,12,6,100,1
7,14,4,100,1
8,5,4,100,1
8,4,5,100,1
8,12,5,100,1
8,14,2,100,1
9,5,5,100,1
9,4,7,100,1
9,12,6,100,1
9,14,3,100,1
10,5,6,100,1
10,4,3,100,1
10,12,5,100,1
10,14,2,100,1
11,5,5,100,1
11,4,5,100,1
11,12,4,100,1
11,14,3,100,1
12,5,5,100,1
12,4,5,100,1
12,12,5,100,1
12,14,3,100,1
13,5,5,100,1
13,4,4,100,1
13,12,5,100,1
13,14,2,100,1
14,5,5,100,1
14,4,5,100,1
14,12,5,100,1
14,14,4,100,1
15,5,4,100,1
15,4,5,100,1
15,12,5,100,1
15,14,3,100,1
16,5,3,100,1
16,4,5,100,1
16,12,5,100,1
16,14,4,100,1
17,5,3,100,1
17,4,6,100,1
17,12,5,100,1
17,14,3,100,1
18,5,6,100,1
18,4,6,100,1
18,12,3,100,1
18,14,3,100,1
19,5,4,100,1
19,4,7,100,1
19,12,5,100,1
19,14,3,100,1
20,5,5,100,1
20,4,4,100,1
20,12,7,100,1
20,14,3,100,1
21,5,5,100,1
21,4,5,100,1
21,12,4,100,1
21,14,3,100,1
22,5,5,100,1
22,4,5,100,1
22,12,4,100,1
22,14,3,100,1
23,5,3,100,1
23,4,5,100,1
23,12,5,100,1
23,14,3,100,1
24,5,3,100,1
24,4,3,100,1
24,12,6,100,1
24,14,3,100,1
25,5,3,100,1
25,4,5,100,1
25,12,4,100,1
25,14,4,100,1
26,5,5,100,1
26,4,4,100,1
26,12,4,100,1
26,14,4,100,1
27,5,3,100,1
27,4,2,100,1
27,12,2,100,1
27,14,2,100,1
