1,0,28,0,4,8640,8160,5,2,2,2
2,14,28,0,4,8640,8160,5,2,2,2
3,0,28,0,4,8640,8160,5,2,2,2
4,0,28,14,0,8640,8160,5,2,2,2
5,14,28,0,4,8640,8160,5,2,2,2
6,14,28,0,4,8640,8160,5,2,2,2
7,0,28,0,4,8640,8160,5,2,2,2
8,14,28,0,0,8640,8160,5,2,2,2
9,14,28,0,4,8640,8160,5,2,2,2
10,0,28,14,4,8640,8160,5,2,2,2
11,14,28,0,4,8640,8160,5,2,2,2
12,14,28,0,4,8640,8160,5,2,2,2
13,0,28,14,4,8640,8160,5,2,2,2
14,14,28,14,4,8640,8160,5,2,2,2
15,14,28,14,0,8640,8160,5,2,2,2
16,14,28,0,0,8640,8160,5,2,2,2
17,14,28,14,4,8640,8160,6,2,2,2
18,0,28,0,0,8640,8160,6,2,2,2
19,0,28,14,0,8640,8160,6,2,2,2
20,14,28,14,0,8640,8160,6,2,2,2
21,14,28,0,4,8640,8160,6,2,2,2
22,14,28,14,4,8640,8160,6,2,2,2
23,14,28,0,4,8640,8160,6,2,2,2
24,0,28,0,2,5160,4680,5,1,2,3
25,0,28,8,0,5160,4680,5,1,2,3
26,8,28,8,2,5160,4680,5,1,2,3
27,0,28,8,2,5160,4680,5,1,2,3
28,8,28,8,2,5160,4680,5,1,2,3
29,0,28,0,1,3420,2940,5,1,1,3
30,0,28,5,1,3420,2940,5,1,1,3
