1,14,14,0,4320,3360,5,2,2,1
2,14,14,5,4320,3360,5,2,2,1
3,14,14,5,4320,3360,5,2,2,1
4,14,0,5,4320,3360,5,2,2,1
5,14,0,0,4320,3360,5,2,2,1
6,14,14,0,4320,3360,5,2,2,1
7,14,14,5,4320,3360,5,2,2,1
8,14,14,5,4320,3360,5,2,2,1
9,14,14,5,4320,3360,5,2,2,1
10,14,14,0,4320,3360,5,2,2,1
11,14,14,0,4320,3360,6,2,3,1
12,0,14,5,4320,3360,6,2,3,1
13,14,14,5,4320,3360,6,2,3,1
14,0,14,5,4320,3360,6,2,3,1
15,0,14,5,4320,3360,6,2,3,1
16,14,14,2,2160,1200,5,1,2,1
17,0,14,2,2160,1200,5,1,2,1
18,14,14,0,2160,1200,5,1,2,1
19,14,0,2,2160,1200,5,1,2,1
20,14,14,0,2160,1200,5,1,2,1
