0,5,2,100,1
0,4,3,100,1
0,12,3,100,1
1,5,3,100,1
1,4,4,100,1
1,12,3,100,1
2,5,3,100,1
2,4,5,100,1
2,12,3,100,1
3,5,4,100,1
3,4,5,100,1
3,12,2,100,1
4,5,2,100,1
4,4,5,100,1
4,12,4,100,1
5,5,4,100,1
5,4,6,100,1
5,12,2,100,1
6,5,6,100,1
6,4,5,100,1
6,12,3,100,1
7,5,4,100,1
7,4,6,100,1
7,12,3,100,1
8,5,3,100,1
8,4,4,100,1
8,12,2,100,1
9,5,4,100,1
9,4,5,100,1
9,12,4,100,1
10,5,2,100,1
10,4,5,100,1
10,12,2,100,1
11,5,2,100,1
11,4,3,100,1
11,12,4,100,1
12,5,2,100,1
12,4,6,100,1
12,12,5,100,1
13,5,3,100,1
13,4,5,100,1
13,12,3,100,1
