2,17,4,2
2,18,4,2
2,19,4,2
2,20,4,2
4,11,12,3
4,12,12,3
6,6,5,2
7,16,14,1
7,17,14,1
7,18,14,1
9,11,14,1
9,20,14,1
9,21,14,1
9,22,14,1
9,23,14,1
10,26,4,2
10,27,4,2
11,6,5,2
11,7,5,2
11,8,5,2
12,11,4,1
12,12,4,1
13,3,14,1
13,4,14,1
13,5,14,1
13,6,14,1
15,8,12,3
15,9,12,3
15,10,12,3
15,11,12,3
16,9,5,2
17,18,14,1
17,19,14,1
17,20,14,1
17,21,14,1
18,9,4,3
18,10,4,3
18,11,4,3
18,12,4,3
19,0,4,2
19,1,4,2
19,2,4,2
19,3,4,2
20,0,5,3
20,1,5,3
20,2,5,3
20,3,5,3
20,22,12,3
20,23,12,3
20,24,12,3
20,25,12,3
20,26,12,3
22,12,12,1
22,13,12,1
23,20,5,3
23,21,5,3
23,22,5,3
24,6,4,2
24,7,4,2
24,8,4,2
24,9,4,2
24,21,4,1
24,22,4,1
25,6,12,3
25,7,12,3
25,8,12,3
25,9,12,3
25,10,12,3
25,17,4,1
25,18,4,1
25,19,4,1
26,14,14,1
26,15,14,1
26,22,4,1
27,3,12,3
27,4,12,3
28,0,4,1
28,1,4,1
28,2,4,1
28,10,5,1
28,11,5,1
28,12,5,1
28,13,5,1
28,14,5,1
29,17,14,2
29,18,14,2
