1,4,14,2
1,5,14,2
1,6,14,2
1,12,14,3
1,13,14,3
3,0,4,1
3,1,4,1
3,2,4,1
3,3,4,1
3,8,4,3
3,9,4,3
3,10,4,3
3,11,4,3
4,1,12,2
4,2,12,2
4,3,12,2
4,23,4,2
4,24,4,2
5,4,4,2
5,5,4,2
5,6,4,2
5,27,4,2
6,1,4,2
6,2,4,2
6,17,14,1
6,18,14,1
6,19,14,1
6,25,4,2
7,1,4,1
7,2,4,1
7,3,4,1
8,14,5,3
8,15,5,3
9,0,14,1
9,1,14,1
9,2,14,1
10,5,12,1
10,6,12,1
10,17,12,2
10,18,12,2
10,19,12,2
10,20,12,2
11,17,4,3
11,18,4,3
11,19,4,3
12,16,4,3
12,17,4,3
12,18,4,3
12,19,4,3
12,26,14,2
12,27,14,2
13,21,14,3
13,22,14,3
13,26,14,1
14,2,4,1
14,3,4,1
14,4,4,1
14,5,4,1
14,6,4,1
14,19,14,2
14,20,14,2
14,21,14,2
15,0,12,2
15,1,12,2
15,2,12,2
15,3,12,2
15,4,12,2
15,16,5,3
15,17,5,3
15,18,5,3
16,15,4,2
16,16,4,2
16,17,4,2
16,18,4,2
17,4,12,2
17,11,4,2
18,19,4,1
18,20,4,1
18,21,4,1
18,22,4,1
18,23,4,1
19,11,12,3
19,12,12,3
19,13,12,3
19,14,12,3
20,9,12,1
20,10,12,1
20,14,4,3
20,15,4,3
20,16,4,3
20,17,4,3
21,0,14,3
21,7,4,1
21,8,4,1
21,9,4,1
21,10,4,1
21,14,5,3
21,15,5,3
21,16,5,3
21,24,14,3
23,4,4,2
23,5,4,2
23,6,4,2
23,7,4,2
24,16,4,1
25,0,4,1
26,0,14,2
26,10,12,2
27,12,4,1
27,17,4,3
27,18,4,3
27,19,4,3
27,20,4,3
28,24,5,3
28,25,5,3
28,26,5,3
28,27,5,3
29,0,14,3
29,1,14,3
29,2,14,3
29,3,14,3
29,4,14,3
29,8,14,2
29,9,14,2
29,22,4,1
29,23,4,1
29,24,4,1
29,25,4,1
30,3,4,3
30,4,4,3
30,5,4,3
30,6,4,3
30,7,4,3
30,18,14,1
30,19,14,1
30,20,14,1
30,21,14,1
30,25,12,2
30,26,12,2
