1,2,5,3
1,3,5,3
1,4,5,3
1,5,5,3
3,2,5,3
3,9,12,3
3,10,12,3
4,1,12,2
4,2,12,2
4,3,12,2
4,4,12,2
4,5,12,2
4,10,5,3
4,14,5,2
4,15,5,2
4,16,5,2
4,20,12,2
4,21,12,2
4,22,12,2
5,2,5,3
5,3,5,3
5,4,5,3
5,5,5,3
5,6,5,3
5,12,5,3
5,13,5,3
5,14,5,3
5,15,5,3
5,16,5,3
6,8,12,2
7,20,12,1
8,12,12,2
8,19,12,3
8,20,12,3
8,21,12,3
8,22,12,3
8,23,12,3
9,6,5,3
9,12,12,1
9,13,12,1
9,14,12,1
9,15,12,1
10,1,5,1
10,2,5,1
10,3,5,1
10,4,5,1
10,10,12,2
11,22,5,3
11,23,5,3
11,24,5,3
11,25,5,3
12,7,5,2
12,8,5,2
12,9,5,2
12,10,5,2
13,9,5,1
13,10,5,1
13,11,5,1
13,12,5,1
13,13,5,1
13,21,5,1
13,22,5,1
13,23,5,1
14,2,5,3
14,3,5,3
14,11,5,1
14,18,5,2
15,4,5,3
15,15,12,3
15,16,12,3
15,17,12,3
15,18,12,3
16,2,5,1
16,3,5,1
16,4,5,1
16,5,5,1
16,12,5,3
16,13,5,3
16,14,5,3
