1,0,5,3
1,1,5,3
1,2,5,3
1,3,5,3
1,4,5,3
2,0,12,2
2,1,12,2
2,2,12,2
2,10,12,2
2,18,12,2
2,19,12,2
2,20,12,2
2,21,12,2
2,22,12,2
3,6,12,1
3,7,12,1
3,8,12,1
3,9,12,1
3,17,4,1
3,18,4,1
3,19,4,1
3,20,4,1
3,27,4,2
4,12,4,3
4,13,4,3
5,1,12,1
5,8,4,1
5,9,4,1
5,10,4,1
5,11,4,1
5,12,4,1
6,2,12,1
6,3,12,1
6,4,12,1
7,8,5,2
7,9,5,2
7,10,5,2
7,11,5,2
7,12,5,2
7,21,12,2
7,22,12,2
7,23,12,2
8,2,12,1
8,15,12,3
8,16,12,3
8,17,12,3
8,18,12,3
8,22,12,1
8,23,12,1
8,24,12,1
8,25,12,1
9,3,4,3
10,11,12,3
10,12,12,3
10,27,5,1
11,3,12,1
11,4,12,1
11,5,12,1
11,6,12,1
11,7,12,1
12,9,4,1
12,10,4,1
13,8,5,2
13,9,5,2
13,10,5,2
13,11,5,2
13,12,5,2
14,19,5,3
14,20,5,3
15,3,4,1
15,4,4,1
15,13,12,3
15,19,4,1
15,20,4,1
15,21,4,1
15,22,4,1
15,23,4,1
16,8,4,2
16,9,4,2
17,6,4,1
17,7,4,1
17,13,5,3
17,14,5,3
17,15,5,3
17,25,5,3
18,3,12,2
18,11,12,3
